Prompt|Kategori
Jelaskan apa itu machine learning dalam 2 paragraf|AI
Buatkan contoh kode Python untuk sorting bubble sort|Coding
Apa perbedaan antara HTTP dan HTTPS?|Network
Sebutkan 5 tips manajemen waktu untuk mahasiswa|Produktivitas
Jelaskan konsep supply and demand dalam ekonomi|Ekonomi
Buatkan email formal untuk mengajukan cuti kerja|Template
Apa itu blockchain dan bagaimana cara kerjanya?|Teknologi
Berikan 3 ide judul skripsi tentang manajemen SDM|Skripsi
Jelaskan perbedaan leadership dan management|Manajemen
Buatkan ringkasan tentang teori motivasi Maslow|Teori
